uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits
41e71793-b8b2-51a5-98cb-dd8f7b2e5fdb,Elron Electronic Industries,organization,elron-electronic-industries,https://www.crunchbase.com/organization/elron-electronic-industries,119249,9/4/07 1:01,3/9/20 22:11,,"investor,company",elron.com,http://www.elron.com,ISR,,Tel Aviv,Tel Aviv,"3 Azrieli Center The Triangle Tower, 42nd Floor",67023,ipo,Elron is a Israeli holding company dedicated to building technology companies that transform lives and industries.,"Electronics,Information Technology,Medical Device,Robotics,Semiconductor","Consumer Electronics,Hardware,Health Care,Information Technology,Science and Engineering,Software",1,52000000,52000000,USD,10/20/61,12/13/06,,Nov-50,info@elron.com,-6074586,https://www.facebook.com/elronIsrael/,https://www.linkedin.com/company/elron-electronic-industries/,,https://res.cloudinary.com/crunchbase-production/image/upload/v1467851853/a3cxtgaif4ugrv6yogdy.jpg,,,,investor,5
12317bcb-4ee2-7fce-6ad1-d2ebcec44db2,MetaLink,organization,metalink,https://www.crunchbase.com/organization/metalink,353950,9/10/07 23:09,4/17/18 17:14,,company,mtlk.com,http://www.mtlk.com,ISR,,HaMerkaz,Yakum,Yakum Business Park,60972,ipo,WLAN silicon solutions,"DSP,Mobile,Telecommunications","Hardware,Mobile",1,,,,1/1/92,8/21/97,,51-100,,972 9 960 5407,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397181687/de135ee363d285c991ab2133546c65ff.gif,,,,company,
a07aaa6e-4571-db6a-4678-4a2c4fa1cae1,SuTree,organization,sutree,https://www.crunchbase.com/organization/sutree,826857,9/11/07 2:28,2/12/18 23:46,,company,sutree.com,http://www.sutree.com,ISR,,Tel Aviv,Herzliya,Ackerstein Building Rehov Medinat Hayehudim 103,46766,operating,SuTree (a combination of the words Sutra and Tree) is a video site that aggregates instructional videos and lets users browse them by,"Electronics,Fashion,Video","Clothing and Apparel,Consumer Electronics,Design,Hardware,Media and Entertainment,Video",,,,,1/1/06,,,10-Jan,,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397181776/6acd6affbeea0336a36f225b1ca3a9e3.png,,,,company,
7786170c-6fe5-95db-e259-697a37d626f5,mPortico,organization,mportico,https://www.crunchbase.com/organization/mportico,635627,9/11/07 7:34,6/24/19 21:22,,company,mportico.com,http://www.mportico.com,ISR,,Tel Aviv,Herzliya,16 Haminhara Street,46586,closed,mPortico uses mobile memory cards to deliver content to its clients.,"Logistics,Mobile","Mobile,Transportation",5,3750000,3750000,USD,10/1/06,5/10/08,10/22/12,10-Jan,info@mportico.com,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397181777/a40f164b60802b647669db8d14a9c804.jpg,,,,company,
e3fd7783-f349-81b2-132f-c7062a37d071,Veritas Venture Partners,organization,veritas-venture-partners,https://www.crunchbase.com/organization/veritas-venture-partners,171367,9/27/07 17:40,3/13/20 20:18,,investor,veritasvc.com,http://www.veritasvc.com,ISR,,HaMerkaz,Ra'anana,2A Hamelacha St. 3rd Floor,43661,operating,Veritas is dedicated to providing entrepreneurs with a fast and discreet reply. They try to be responsive to what is often the,"Enterprise,Internet,Venture Capital","Financial Services,Internet Services,Lending and Investments,Other",,,,,1/1/90,,,10-Jan,baruch@tmura.org,-4144,,https://www.linkedin.com/company/veritas-venture-partners,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397178777/f3111b14ecb85b02b60b313a16cf09c8.gif,,,,investor,3
366c3994-7f70-237a-357b-b830ffd7bd4b,Babylon,organization,babylon,https://www.crunchbase.com/organization/babylon,107433,10/2/07 20:51,4/17/18 8:35,Babylon Ltd.,"investor,company",babylon.com,http://www.babylon.com,ISR,,Tel Aviv,Or Yehuda,10 Hataasiya St.,6021210,ipo,Babylon provides translation and language learning solutions such as the translator and dictionary for PC and Mac.,"Language Learning,Publishing,Search Engine,Software","Content and Publishing,Education,Internet Services,Media and Entertainment,Software",,,,,9/4/97,,,51-100,Emmab@Babylon.com,,http://www.facebook.com/BabylonSoftware,http://www.linkedin.com/company/12681,http://twitter.com/BabylonLTD,https://res.cloudinary.com/crunchbase-production/image/upload/v1397181886/986cdbb6970eed1639c1b4442a758dec.jpg,,,,company,
c31ca649-d2c9-549a-d413-313d4389ec0c,Testuff,organization,testuff,https://www.crunchbase.com/organization/testuff,359485,10/8/07 16:52,2/12/18 23:58,,company,testuff.com,http://www.testuff.com,ISR,,Tel Aviv,Ramat Gan,,,operating,The Testuff founders have many years of experience in all aspects of software development and testing.,"Developer APIs,Enterprise Software,Service Industry,Software","Other,Software",,,,,1/1/07,,,10-Jan,contact@testuff.com,,https://www.facebook.com/Testuff-Test-Management-Software-257650488047/,https://www.linkedin.com/company-beta/305296/?pathWildcard=305296,http://twitter.com/testuff,https://res.cloudinary.com/crunchbase-production/image/upload/v1397181923/053e3ff0c9fbbe0edcbd8cb50e7436de.jpg,,,,company,
44974c34-7435-5e3d-1f5f-70ee942d485a,Magma Venture Partners,organization,magma-venture-partners,https://www.crunchbase.com/organization/magma-venture-partners,67320,10/10/07 19:50,6/24/19 21:35,,investor,magmavc.com,http://www.magmavc.com,ISR,,Tel Aviv,Tel Aviv,22 Rothschild Blvd. 25th floor,,operating,Magma is an Israel-based venture capital firm specializing in early-stage investments.,"Finance,Financial Services,Venture Capital","Financial Services,Lending and Investments",,,,,1/1/99,,,Nov-50,info@magmavc.com,-5686,https://www.facebook.com/pages/Magma-Venture-Partners/1428272370778662?fref=ts,https://www.linkedin.com/company/681502?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A681502%2Cidx%3A1-1-1%2CtarId%3A1442272095733%2Ctas%3AMagma%20Venture%20Partners,,https://res.cloudinary.com/crunchbase-production/image/upload/dbcsxdelx0if7aszlvrs,,,,investor,20
b04f6634-a9f2-868d-d26a-fde29ab6a7a9,Wix,organization,wix,https://www.crunchbase.com/organization/wix,2818,10/23/07 1:18,11/2/20 5:02,Wix.com Limited,"investor,company",wix.com,http://www.wix.com/,ISR,,Tel Aviv,Tel Aviv,40 Namal Tel-Aviv Street,6350671,ipo,Wix provides a platform for the development of cloud data services for millions of registered users worldwide.,"B2B,Developer Tools,Enterprise Software,Information Technology,Internet,Small and Medium Businesses,Software,Web Design","Design,Information Technology,Internet Services,Other,Software",4,58500000,58500000,USD,10/5/06,3/28/11,,1001-5000,pr@wix.com,(415)517-6539,http://www.facebook.com/wix/,https://www.linkedin.com/company/wix-com/,https://twitter.com/wix,https://res.cloudinary.com/crunchbase-production/image/upload/jokhst3pxevsbh74pvyu,Wixpress,SPP Advisors,,company,
07a1c73f-d680-ed56-38ce-d97a43096314,Yedda (AOL Answers),organization,yedda,https://www.crunchbase.com/organization/yedda,170593,11/9/07 21:11,12/17/20 15:07,,company,aolanswers.com,https://aolanswers.com,ISR,,Tel Aviv,Tel Aviv,,,acquired,Social Q&A,"Communities,Social Media,Social Network","Community and Lifestyle,Internet Services,Media and Entertainment",2,2500000,2500000,USD,1/1/06,2/1/07,,10-Jan,,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/iry0nlkpgbst0oo71ota,,,,company,
51a37df4-2049-13df-4e08-c1cad2bc292b,eSnips,organization,esnips,https://www.crunchbase.com/organization/esnips,136605,11/15/07 20:57,10/21/20 10:51,,company,haxtax.com,https://www.haxtax.com,ISR,,Tel Aviv,Herzliya,P.O. Box 4010 3 Hasadnaot St,46140,acquired,eSnips offers a media dashboard that enables its users to express themselves through their digital content.,"File Sharing,Social Media,Web Hosting","Internet Services,Media and Entertainment,Software",3,5000000,5000000,USD,1/1/01,5/31/07,,51-100,support@esnips.com,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397182409/2fd3f2c9de8121822ee718960fcc0d95.gif,,,,company,
ec482114-a406-3330-1a2a-e0ef7ff37a90,YouLicense,organization,youlicense,https://www.crunchbase.com/organization/youlicense,189169,11/26/07 3:14,3/25/19 20:01,,company,youlicense.com,http://youlicense.com,ISR,,Tel Aviv,Tel Aviv,Ishtori HaParhi Street 5,63118,operating,YouLicense is an online music licensing platform that allows artists and customers to conduct direct business conversations with each other.,"Music,Online Portals,Social Media","Internet Services,Media and Entertainment,Music and Audio",3,1100000,1100000,USD,1/1/07,4/1/09,,Nov-50,,,https://www.facebook.com/YouLicense,https://www.linkedin.com/company/youlicense,http://twitter.com/YouLicense,https://res.cloudinary.com/crunchbase-production/image/upload/v1397182535/a2ae9746f941d222b2e55db075022314.png,,,,company,
315b5523-1848-6ce4-83b2-296a21d37d36,Israel Seed Partners,organization,israel-seed-partners,https://www.crunchbase.com/organization/israel-seed-partners,163872,11/26/07 20:46,3/12/20 17:20,,investor,israelseed.com,http://www.israelseed.com,ISR,,Yerushalayim,Jerusalem,Jerusalem Technology Park P O Box 48183,91481,operating,Israel Seed Partners takes a hands-on approach to supporting and nurturing seed-stage investments.,"Finance,Financial Services,Venture Capital","Financial Services,Lending and Investments",,,,,1/1/95,,,10-Jan,webmaster@israelseed.com,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397178879/40336111b07dd8a7c33cdac50b4b67c1.png,,,,investor,15
ca17699b-2f49-91f4-5863-7216fc07a64e,eToro,organization,etoro,https://www.crunchbase.com/organization/etoro,86,11/27/07 20:24,10/4/19 6:04,eToro (UK) Ltd.,"investor,company",etoro.com,https://www.etoro.com/,ISR,,Tel Aviv,Tel Aviv,,,operating,"eToro is a social trading and investment marketplace that allows users to trade currencies, commodities, indices, and stocks.","Finance,Financial Services,FinTech,Marketplace,Trading Platform","Commerce and Shopping,Financial Services,Lending and Investments",12,272700000,272700000,USD,1/1/07,12/8/20,,501-1000,support@etoro.com,-2053,http://www.facebook.com/etoro,https://www.linkedin.com/company/etoro/,http://twitter.com/eToro,https://res.cloudinary.com/crunchbase-production/image/upload/iclberphge7gnwbyqffl,,,,company,
48b6b97e-e5ec-a6d6-1cb0-5d3f74b3f9cd,Cubit Investments,organization,cubit-investments,https://www.crunchbase.com/organization/cubit-investments,157219,11/27/07 20:32,3/11/20 20:22,,investor,guygamzu.com,http://www.guygamzu.com,ISR,,Tel Aviv,Ramat Gan,21 Tuval Street,,operating,"Cubit Investments is a venture capital firm specialized in incubation, seed-, and early-stage venture investments.","Finance,FinTech,Venture Capital","Financial Services,Lending and Investments",,,,,1/1/98,,,10-Jan,,,,https://www.linkedin.com/in/guygamzu/,https://twitter.com/guygamzu,https://res.cloudinary.com/crunchbase-production/image/upload/v1468484932/kuuk0gojryibqb1o4im7.png,,,,investor,3
b1efb776-c85e-3c83-3e4c-c85b80889984,AllofMe,organization,allofme,https://www.crunchbase.com/organization/allofme,485107,11/27/07 22:30,6/24/19 22:01,,company,allofme.com,http://www.allofme.com,ISR,,Tel Aviv,Tel Aviv,2 Har Sinai St.,65816,closed,"AllofMe lets users create digital timelines using emails, photos, videos, documents, and more.",Software,Software,1,,,,5/1/07,11/1/07,,10-Jan,info@allofme.com,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397182541/074ae83eef0554aca264228745c73988.png,,,,company,
6fc874b2-5a25-bfca-d336-612afa956c0f,IRSeeK,organization,irseek,https://www.crunchbase.com/organization/irseek,753606,12/3/07 22:16,2/12/18 23:49,,company,irseek.com,http://www.irseek.com,ISR,,Tel Aviv,Herzliya,P.O.Box 5856,46158,operating,IRSeeK is an Israeli company indexing conversations on IRC. Users can search the site to find conversations about information that might,Search Engine,Internet Services,,,,,,,,unknown,info-us@bcasol.com,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397182633/5a39f832528560da3495d96cd8ed3e0c.gif,,,,company,
4fb1ac49-eaf7-3f9e-e5b1-50c0866c4ab9,Clicktale,organization,clicktale,https://www.crunchbase.com/organization/clicktale,12853,12/6/07 16:36,7/17/19 17:05,Clicktale Ltd.,company,clicktale.com,http://www.clicktale.com,ISR,,Tel Aviv,Ramat Gan,Atrium Tower 2 Jabotinsky St.,5250501,acquired,Clicktale taps into the wisdom and behavior of millions of visitors to solve critical customer challenges and innovate superior experiences.,"Analytics,Business Intelligence,SaaS","Data and Analytics,Software",5,60000000,60000000,USD,6/1/06,1/28/15,,101-250,media@clicktale.com,800-807-2117,http://www.facebook.com/ClickTale,http://www.linkedin.com/company/clicktale,http://twitter.com/ClickTale,https://res.cloudinary.com/crunchbase-production/image/upload/v1486378768/ayb3cw8sruznazeq6bxz.png,,,,company,
ed7e846b-7002-4736-9e29-df5aa90ce899,iMedix Inc.,organization,imedix,https://www.crunchbase.com/organization/imedix,239115,12/9/07 17:53,6/24/19 21:26,,company,imedix.com,http://www.imedix.com,ISR,,Tel Aviv,Tel Aviv,,,closed,"iMedix, a health search engine and network, utilizes advanced proprietary algorithms to answer user questions.","Communities,Health Care,Search Engine","Community and Lifestyle,Health Care,Internet Services",1,2000000,2000000,USD,1/1/07,12/1/07,,10-Jan,info@imedix.com,,,,http://twitter.com/iMedix,https://res.cloudinary.com/crunchbase-production/image/upload/v1397182707/6fe23b67c4ed2077953aabdda221fa2c.jpg,,,,company,
5e5367e2-82b9-14d1-2423-c0a401b4d6f7,Flixwagon,organization,flixwagon,https://www.crunchbase.com/organization/flixwagon,251216,12/19/07 17:28,3/25/19 20:02,,company,flixwagon.com,http://flixwagon.com,ISR,,Tel Aviv,Bene Beraq,31 HaLechi,51200,acquired,Flixwagon is a live video streaming service that enables users with a 3G or Wi-Fi-enabled phone to broadcast live video on the web.,"Broadcasting,Mobile,Video,Video Streaming","Content and Publishing,Media and Entertainment,Mobile,Video",3,2500000,2500000,USD,1/1/07,1/1/10,,10-Jan,,,http://www.facebook.com/Flixwagon,http://www.linkedin.com/company/flixwagon,http://twitter.com/flixwagon,https://res.cloudinary.com/crunchbase-production/image/upload/v1399548861/fojmkxen0ycjjxztxifg.jpg,,,,company,
2339f3a6-0ba0-36ff-1f16-d22fd542c761,Oridian,organization,oridian,https://www.crunchbase.com/organization/oridian,323243,1/3/08 12:07,4/17/18 11:22,,company,oridian.com,http://www.oridian.com,ISR,,Tel Aviv,Herzliya,3 Sapir Street,46733,acquired,Oridian is an advertising company that provides online advertising service for its clients.,"Advertising,Internet","Advertising,Internet Services,Sales and Marketing",,,,,1/1/98,,,51-100,,972 9 960 9600,,,http://twitter.com/ybrantdigital,https://res.cloudinary.com/crunchbase-production/image/upload/v1397182902/1bc21562aedef1404b11a68935d900f1.jpg,,,,company,
8ca77695-b2ff-b12e-9e8f-3579fcf70ca6,Cedar Fund,organization,cedar-fund,https://www.crunchbase.com/organization/cedar-fund,134039,1/4/08 15:44,6/24/19 21:35,,investor,cedarfund.com,http://www.cedarfund.com,ISR,,Tel Aviv,Herzliya,9 Keren Hayesod Street,46105,operating,"Cedar Fund specializes in early stage, Israel-related investments, including Pre-Seed, seed and first round.","Analytics,Mobile,Venture Capital","Data and Analytics,Financial Services,Lending and Investments,Mobile",,,,,1/1/97,,,10-Jan,info@cedarfund.com,+1.800.844.3469,,https://www.linkedin.com/company/cedar-fund/,https://twitter.com/cedarvc?lang=en,https://res.cloudinary.com/crunchbase-production/image/upload/v1467153982/y3v4the2zri5ais4ypxr.png,,,,investor,22
d6ccac27-97ef-e13e-a6d1-cbac2e8bc1bb,Delver,organization,delver,https://www.crunchbase.com/organization/delver,254389,1/14/08 21:57,6/24/19 21:49,,company,delver.com,http://www.delver.com,ISR,,Tel Aviv,Herzliya,9 Hamenofim St.,46725,acquired,Delver is an intelligent social search engine that enables users to access crowdsourced information.,"Crowdsourcing,Location Based Services,Search Engine,Social Media,Software","Data and Analytics,Internet Services,Media and Entertainment,Navigation and Mapping,Other,Software",2,4000000,4000000,USD,1/1/07,7/19/08,,Nov-50,info@delver.com,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397183006/88c8048adc4ec99e8718deb7299da875.jpg,,,,company,
e0114ddb-2aac-272f-7422-a140421d1a93,Journeys,organization,journeys,https://www.crunchbase.com/organization/journeys,322859,1/14/08 23:49,6/24/19 21:53,,company,codename-journeys.com,http://www.codename-journeys.com,ISR,,Tel Aviv,Tel Aviv,13 Noah Moses St.,67442,closed,Journeys is an Israel-based platform developing virtual worlds and massively multiplayer online games (MMOG).,Travel,Travel and Tourism,1,600000,600000,USD,5/1/07,5/1/07,,Nov-50,guy@codename-journeys.com,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1488179887/cuxfexhutdwabrl6kq3e.png,,,,company,
6b8046fa-6cd6-7c50-6609-cecda723cded,PLYmedia,organization,plymedia,https://www.crunchbase.com/organization/plymedia,157309,1/15/08 13:22,6/24/19 21:58,,company,plymedia.com,http://www.plymedia.com,ISR,,Tel Aviv,Tel Aviv,48 King George St,46337,operating,PLYmedia is a next-generation ad-tech company dedicated to developing the world’s leading performance-based ad exchange for ad networks,"Ad Exchange,Ad Network,Advertising,Information Technology,Media and Entertainment,Mobile Advertising","Advertising,Information Technology,Media and Entertainment,Sales and Marketing",3,5700000,5700000,USD,1/1/06,9/25/15,,51-100,info@plymedia.com,9.73E+11,http://www.facebook.com/plymedia,http://www.linkedin.com/company/plymedia,https://twitter.com/PLY_news,https://res.cloudinary.com/crunchbase-production/image/upload/v1417955033/kzafhitlhh97jb7f4lu9.png,,,,company,
a71533a9-9d64-e4fa-96c8-2d38cd9abb50,FamCorner,organization,famcorner,https://www.crunchbase.com/organization/famcorner,1225711,1/18/08 15:24,3/25/19 19:17,,company,mygrandchild.com,http://mygrandchild.com,ISR,,Yerushalayim,Bet Shemesh,8 Nachal Timna St',99622,operating,"FamCorner was created by an international cooperation of educational, technologies and social entrepreneurs which are committed to forming","Education,Internet","Education,Internet Services",,,,,6/1/06,,,10-Jan,Dror@FamCorner.com,866-503-9797,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397183034/4c805f27e819e300c3747c6de622d310.jpg,,,,company,
